codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,71,-28.0,438.0,21.29,0.0,1,
9E,ABE,75,-29.0,341.0,6.71,0.0,11,
9E,ABE,74,-30.0,438.0,4.42,0.0,4,
9E,ABE,89,-28.0,245.0,10.50,7.9,7,
9E,ABY,20,-28.0,141.0,-2.15,0.0,12,
9E,ABY,4,-15.0,321.0,78.50,0.0,2,
9E,AEX,84,-29.0,379.0,9.06,0.0,10,
9E,AEX,62,-24.0,32.0,-9.19,0.0,3,
9E,AEX,79,-29.0,979.0,17.51,0.0,6,
9E,AEX,81,-30.0,316.0,5.64,0.0,9,
