aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ACK,5,95,10,15,"['Late Aircraft (1770 min)', 'NAS (704 min)', 'Carrier (226 min)']"
ACK,6,248,33,36,"['Late Aircraft (3564 min)', 'NAS (2820 min)', 'Carrier (1590 min)']"
ACK,7,312,64,51,"['Late Aircraft (4433 min)', 'NAS (2951 min)', 'Carrier (2133 min)']"
ACK,8,344,34,47,"['Late Aircraft (4694 min)', 'NAS (3700 min)', 'Carrier (2112 min)']"
ACK,9,154,11,8,"['Late Aircraft (974 min)', 'NAS (379 min)', 'Carrier (120 min)']"
ACK,10,64,4,3,"['NAS (323 min)', 'Late Aircraft (173 min)', 'Carrier (162 min)']"
ACT,1,63,12,10,"['Late Aircraft (1347 min)', 'Carrier (1282 min)', 'Weather (496 min)']"
ACT,2,80,3,4,"['Carrier (194 min)', 'NAS (184 min)', 'Late Aircraft (111 min)']"
ACT,3,79,7,4,"['Late Aircraft (426 min)', 'NAS (294 min)', 'Weather (23 min)']"
ACT,4,70,10,6,"['Weather (940 min)', 'Late Aircraft (197 min)', 'Carrier (190 min)']"
ACT,5,68,7,11,"['Carrier (1231 min)', 'Weather (747 min)', 'NAS (477 min)']"
ACT,6,57,15,17,"['Carrier (1531 min)', 'Late Aircraft (919 min)', 'Weather (340 min)']"
ACT,7,74,8,10,"['Carrier (1344 min)', 'Weather (289 min)', 'NAS (206 min)']"
ACT,8,75,11,5,"['Late Aircraft (456 min)', 'Carrier (452 min)', 'NAS (133 min)']"
ACT,9,75,11,4,"['Carrier (520 min)', 'Late Aircraft (398 min)', 'NAS (108 min)']"
ACT,10,62,12,18,"['Carrier (1747 min)', 'Late Aircraft (524 min)', 'NAS (189 min)']"
ACT,11,73,7,4,"['Carrier (540 min)', 'Late Aircraft (445 min)', 'NAS (10 min)']"
ACT,12,58,13,16,"['Carrier (2085 min)', 'Weather (507 min)', 'NAS (167 min)']"
ACV,1,113,16,15,"['Carrier (1335 min)', 'Late Aircraft (939 min)', 'Weather (582 min)']"
ACV,2,91,22,14,"['Late Aircraft (3372 min)', 'NAS (1145 min)', 'Carrier (593 min)']"
ACV,3,100,29,13,"['NAS (1596 min)', 'Carrier (1438 min)', 'Late Aircraft (630 min)']"
ACV,4,91,14,12,"['Carrier (1050 min)', 'NAS (819 min)', 'Late Aircraft (426 min)']"
ACV,5,96,13,12,"['NAS (1077 min)', 'Late Aircraft (828 min)', 'Carrier (601 min)']"
ACV,6,95,10,9,"['Carrier (1401 min)', 'Late Aircraft (468 min)', 'NAS (287 min)']"
ACV,7,119,11,10,"['Carrier (2484 min)', 'Late Aircraft (855 min)', 'NAS (527 min)']"
ACV,8,114,16,9,"['Late Aircraft (792 min)', 'Weather (667 min)', 'NAS (499 min)']"
ACV,9,117,8,19,"['Weather (2414 min)', 'Late Aircraft (1647 min)', 'Carrier (1497 min)']"
ACV,10,147,11,20,"['Carrier (1976 min)', 'Late Aircraft (1361 min)', 'Weather (1275 min)']"
ACV,11,135,16,18,"['Weather (743 min)', 'Late Aircraft (710 min)', 'Carrier (707 min)']"
ACV,12,134,11,7,"['Carrier (1179 min)', 'NAS (451 min)', 'Weather (243 min)']"
ACY,1,216,24,9,"['NAS (1195 min)', 'Carrier (754 min)', 'Late Aircraft (661 min)']"
ACY,2,207,37,16,"['NAS (1406 min)', 'Carrier (1133 min)', 'Late Aircraft (932 min)']"
ACY,3,201,71,34,"['NAS (4210 min)', 'Late Aircraft (2239 min)', 'Carrier (1585 min)']"
ACY,4,236,25,15,"['NAS (1921 min)', 'Late Aircraft (467 min)', 'Carrier (457 min)']"
ACY,5,230,35,13,"['NAS (1508 min)', 'Late Aircraft (1045 min)', 'Carrier (199 min)']"
ACY,6,176,28,29,"['Carrier (1721 min)', 'NAS (1383 min)', 'Late Aircraft (967 min)']"
ACY,7,162,37,17,"['Carrier (1592 min)', 'Late Aircraft (1377 min)', 'NAS (963 min)']"
ACY,8,203,38,27,"['NAS (2020 min)', 'Late Aircraft (1699 min)', 'Carrier (1047 min)']"
ACY,9,163,16,8,"['Carrier (443 min)', 'Late Aircraft (387 min)', 'NAS (313 min)']"
ACY,10,175,13,6,"['Late Aircraft (630 min)', 'Carrier (252 min)', 'NAS (145 min)']"
ACY,11,172,16,6,"['Carrier (752 min)', 'NAS (374 min)', 'Late Aircraft (351 min)']"
ACY,12,132,25,17,"['NAS (1100 min)', 'Carrier (686 min)', 'Late Aircraft (546 min)']"
ADK,1,3,2,0,"['Security (59 min)', 'NAS (25 min)', 'Carrier (0 min)']"
ADK,2,3,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,3,2,0,1,"['Late Aircraft (103 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ADK,4,2,1,1,"['Late Aircraft (263 min)', 'Security (7 min)', 'Carrier (0 min)']"
ADK,5,2,2,0,"['Late Aircraft (19 min)', 'Security (15 min)', 'Carrier (0 min)']"
ADK,6,5,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,7,6,2,0,"['Late Aircraft (43 min)', 'Security (26 min)', 'NAS (4 min)']"
ADK,8,6,2,1,"['Late Aircraft (135 min)', 'Security (67 min)', 'Carrier (0 min)']"
ADK,9,5,2,1,"['Late Aircraft (50 min)', 'Security (41 min)', 'NAS (3 min)']"
ADK,10,6,1,0,"['Carrier (16 min)', 'Weather (0 min)', 'NAS (0 min)']"
ADK,11,6,0,1,"['Late Aircraft (61 min)', 'NAS (12 min)', 'Carrier (0 min)']"
ADK,12,4,0,0,"['NAS (16 min)', 'Carrier (0 min)', 'Weather (0 min)']"
ADQ,1,36,8,8,"['Late Aircraft (420 min)', 'Carrier (243 min)', 'Weather (200 min)']"
ADQ,2,46,5,3,"['Late Aircraft (282 min)', 'Weather (136 min)', 'Carrier (93 min)']"
ADQ,3,44,7,5,"['Late Aircraft (895 min)', 'NAS (33 min)', 'Weather (27 min)']"
ADQ,4,46,8,2,"['Carrier (425 min)', 'Late Aircraft (166 min)', 'NAS (4 min)']"
ADQ,5,65,4,2,"['Late Aircraft (180 min)', 'Carrier (92 min)', 'NAS (14 min)']"
ADQ,6,65,5,2,"['Late Aircraft (152 min)', 'Carrier (119 min)', 'NAS (26 min)']"
ADQ,7,65,6,6,"['Late Aircraft (923 min)', 'Carrier (443 min)', 'NAS (88 min)']"
ADQ,8,73,8,3,"['Late Aircraft (346 min)', 'Carrier (85 min)', 'Security (41 min)']"
ADQ,9,86,3,1,"['Weather (125 min)', 'Late Aircraft (91 min)', 'NAS (87 min)']"
ADQ,10,50,7,3,"['Late Aircraft (438 min)', 'Carrier (145 min)', 'NAS (19 min)']"
ADQ,11,41,13,3,"['Carrier (824 min)', 'Late Aircraft (422 min)', 'Weather (110 min)']"
ADQ,12,52,3,3,"['Late Aircraft (496 min)', 'NAS (112 min)', 'Weather (86 min)']"
AEX,1,114,16,16,"['NAS (2029 min)', 'Late Aircraft (1504 min)', 'Carrier (874 min)']"
AEX,2,118,8,6,"['NAS (224 min)', 'Late Aircraft (131 min)', 'Carrier (1557 min)']"
AEX,3,129,7,8,"['Weather (806 min)', 'Carrier (630 min)', 'NAS (166 min)']"
AEX,4,119,10,18,"['Weather (2962 min)', 'Carrier (1659 min)', 'NAS (536 min)']"
AEX,5,117,9,23,"['Weather (2534 min)', 'Carrier (1245 min)', 'NAS (339 min)']"
