aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
BUR,3,1702,322,177,"['NAS (12765 min)', 'Late Aircraft (12360 min)', 'Carrier (6199 min)']"
BUR,4,1812,261,139,"['NAS (11020 min)', 'Late Aircraft (9444 min)', 'Carrier (2713 min)']"
BUR,5,1831,310,158,"['Late Aircraft (12921 min)', 'NAS (8767 min)', 'Carrier (4735 min)']"
BUR,6,2027,441,171,"['Late Aircraft (18212 min)', 'Carrier (7376 min)', 'NAS (5302 min)']"
BUR,7,2206,419,189,"['Late Aircraft (21298 min)', 'Carrier (9300 min)', 'NAS (5304 min)']"
BUR,8,2268,298,139,"['Late Aircraft (11019 min)', 'NAS (8486 min)', 'Carrier (8257 min)']"
BUR,9,2154,330,180,"['Late Aircraft (18108 min)', 'Carrier (7900 min)', 'NAS (7717 min)']"
BUR,10,2368,334,151,"['Late Aircraft (14035 min)', 'NAS (7547 min)', 'Carrier (7174 min)']"
BUR,11,2302,293,107,"['Late Aircraft (10350 min)', 'NAS (6251 min)', 'Carrier (4199 min)']"
BUR,12,2144,382,176,"['Late Aircraft (18630 min)', 'NAS (6055 min)', 'Carrier (5047 min)']"
BWI,1,4720,1736,546,"['Late Aircraft (48797 min)', 'Carrier (41953 min)', 'NAS (27664 min)']"
BWI,2,5278,980,204,"['Carrier (18300 min)', 'Late Aircraft (15311 min)', 'NAS (10165 min)']"
BWI,3,5425,1768,628,"['Late Aircraft (47662 min)', 'Carrier (45146 min)', 'NAS (27153 min)']"
BWI,4,5871,1674,520,"['Late Aircraft (42726 min)', 'Carrier (41007 min)', 'NAS (21991 min)']"
BWI,5,5497,2210,813,"['Late Aircraft (66563 min)', 'Carrier (54469 min)', 'NAS (35446 min)']"
BWI,6,5561,2301,763,"['Late Aircraft (61374 min)', 'Carrier (55653 min)', 'NAS (28340 min)']"
BWI,7,4929,2692,1238,"['Late Aircraft (97825 min)', 'Carrier (90182 min)', 'NAS (41544 min)']"
BWI,8,5502,2218,911,"['Late Aircraft (72283 min)', 'Carrier (63195 min)', 'NAS (45317 min)']"
BWI,9,6489,1343,276,"['Carrier (27254 min)', 'Late Aircraft (21643 min)', 'NAS (12865 min)']"
BWI,10,6470,1383,219,"['Carrier (24035 min)', 'Late Aircraft (18399 min)', 'NAS (6314 min)']"
BWI,11,6199,1027,250,"['Late Aircraft (19308 min)', 'Carrier (18511 min)', 'NAS (9021 min)']"
BWI,12,5528,1648,476,"['Late Aircraft (37378 min)', 'Carrier (33710 min)', 'NAS (14102 min)']"
BZN,1,612,97,76,"['Late Aircraft (10621 min)', 'Carrier (5009 min)', 'Weather (4136 min)']"
BZN,2,645,55,65,"['NAS (5543 min)', 'Late Aircraft (4559 min)', 'Weather (4037 min)']"
BZN,3,700,92,49,"['Late Aircraft (3613 min)', 'NAS (3285 min)', 'Carrier (2120 min)']"
BZN,4,542,49,26,"['Late Aircraft (2107 min)', 'NAS (1865 min)', 'Carrier (930 min)']"
BZN,5,574,71,52,"['Late Aircraft (3876 min)', 'Carrier (3746 min)', 'NAS (2978 min)']"
BZN,6,795,134,72,"['Late Aircraft (5288 min)', 'NAS (3735 min)', 'Carrier (2933 min)']"
BZN,7,856,173,101,"['Late Aircraft (8970 min)', 'Carrier (8102 min)', 'NAS (5231 min)']"
BZN,8,843,152,82,"['Late Aircraft (6323 min)', 'Carrier (5174 min)', 'NAS (4860 min)']"
BZN,9,764,82,29,"['Late Aircraft (2492 min)', 'Carrier (1709 min)', 'NAS (1676 min)']"
BZN,10,615,61,20,"['Carrier (2016 min)', 'Late Aircraft (1543 min)', 'NAS (767 min)']"
BZN,11,477,52,31,"['Carrier (3206 min)', 'NAS (2100 min)', 'Late Aircraft (1708 min)']"
BZN,12,593,82,45,"['Carrier (5262 min)', 'Late Aircraft (4222 min)', 'NAS (1232 min)']"
CAE,1,370,40,42,"['Late Aircraft (4595 min)', 'Carrier (2260 min)', 'NAS (921 min)']"
CAE,2,417,29,16,"['Late Aircraft (2177 min)', 'Carrier (884 min)', 'NAS (351 min)']"
CAE,3,430,51,28,"['Late Aircraft (3033 min)', 'Carrier (2331 min)', 'NAS (455 min)']"
CAE,4,472,44,22,"['Late Aircraft (2226 min)', 'Carrier (1376 min)', 'NAS (931 min)']"
CAE,5,461,62,51,"['Late Aircraft (4531 min)', 'NAS (2370 min)', 'Carrier (2346 min)']"
CAE,6,458,52,31,"['Late Aircraft (3540 min)', 'NAS (1559 min)', 'Weather (1512 min)']"
CAE,7,411,53,70,"['Late Aircraft (7099 min)', 'Carrier (5600 min)', 'NAS (2302 min)']"
CAE,8,482,51,35,"['Late Aircraft (3017 min)', 'Carrier (1772 min)', 'NAS (1747 min)']"
CAE,9,492,47,46,"['Late Aircraft (5052 min)', 'Carrier (2570 min)', 'NAS (1500 min)']"
CAE,10,573,55,18,"['Late Aircraft (1843 min)', 'Carrier (1473 min)', 'NAS (679 min)']"
CAE,11,511,57,28,"['Carrier (3755 min)', 'NAS (1524 min)', 'Late Aircraft (1523 min)']"
CAE,12,480,63,31,"['Late Aircraft (3230 min)', 'Carrier (2656 min)', 'NAS (1842 min)']"
CAK,1,177,21,32,"['Late Aircraft (2596 min)', 'Carrier (1780 min)', 'NAS (903 min)']"
CAK,2,195,16,13,"['Carrier (1018 min)', 'NAS (610 min)', 'Late Aircraft (436 min)']"
CAK,3,220,21,12,"['Carrier (1353 min)', 'Late Aircraft (670 min)', 'NAS (573 min)']"
CAK,4,234,20,23,"['Late Aircraft (1617 min)', 'Carrier (1538 min)', 'Weather (1246 min)']"
CAK,5,237,22,38,"['Late Aircraft (3220 min)', 'Carrier (1334 min)', 'NAS (1195 min)']"
CAK,6,243,37,41,"['Late Aircraft (3674 min)', 'Carrier (1803 min)', 'NAS (1415 min)']"
CAK,7,221,40,59,"['Carrier (4235 min)', 'Late Aircraft (3855 min)', 'NAS (1352 min)']"
CAK,8,230,23,40,"['Late Aircraft (3631 min)', 'Carrier (3494 min)', 'NAS (1605 min)']"
CAK,9,209,21,34,"['Carrier (2937 min)', 'Late Aircraft (2352 min)', 'Weather (614 min)']"
CAK,10,225,15,17,"['Carrier (1184 min)', 'Late Aircraft (1028 min)', 'NAS (189 min)']"
CAK,11,221,12,23,"['Carrier (2052 min)', 'Late Aircraft (1480 min)', 'NAS (481 min)']"
CAK,12,193,37,41,"['Late Aircraft (3718 min)', 'Carrier (3464 min)', 'Weather (822 min)']"
CDC,1,42,3,4,"['Weather (413 min)', 'Carrier (268 min)', 'NAS (48 min)']"
CDC,2,47,2,0,"['Carrier (24 min)', 'Weather (0 min)', 'NAS (0 min)']"
CDC,3,43,1,3,"['Weather (163 min)', 'Carrier (115 min)', 'NAS (0 min)']"
CDC,4,45,2,4,"['Carrier (454 min)', 'Security (151 min)', 'Weather (0 min)']"
CDC,5,47,4,2,"['Weather (867 min)', 'Carrier (223 min)', 'NAS (3 min)']"
CDC,6,43,3,6,"['Carrier (849 min)', 'Weather (547 min)', 'NAS (15 min)']"
CDC,7,42,3,6,"['Carrier (826 min)', 'Weather (253 min)', 'NAS (14 min)']"
CDC,8,50,1,1,"['Carrier (103 min)', 'Weather (18 min)', 'NAS (0 min)']"
CDC,9,50,1,2,"['Carrier (246 min)', 'Weather (0 min)', 'NAS (0 min)']"
CDC,10,48,1,3,"['Carrier (215 min)', 'Weather (197 min)', 'NAS (18 min)']"
CDC,11,46,3,3,"['Carrier (383 min)', 'NAS (21 min)', 'Weather (0 min)']"
CDC,12,40,3,3,"['Carrier (388 min)', 'Weather (23 min)', 'NAS (10 min)']"
CDV,1,38,10,6,"['Late Aircraft (633 min)', 'NAS (178 min)', 'Weather (28 min)']"
CDV,2,39,7,1,"['Late Aircraft (347 min)', 'Carrier (0 min)', 'Weather (0 min)']"
CDV,3,49,7,4,"['Late Aircraft (583 min)', 'NAS (19 min)', 'Carrier (10 min)']"
CDV,4,44,5,2,"['Late Aircraft (487 min)', 'NAS (15 min)', 'Carrier (0 min)']"
CDV,5,52,5,2,"['Late Aircraft (271 min)', 'Carrier (43 min)', 'NAS (35 min)']"
CDV,6,54,4,2,"['Late Aircraft (206 min)', 'NAS (167 min)', 'Security (15 min)']"
CDV,7,49,11,1,"['Late Aircraft (400 min)', 'Carrier (125 min)', 'NAS (97 min)']"
CDV,8,41,16,3,"['Late Aircraft (455 min)', 'Carrier (222 min)', 'NAS (61 min)']"
CDV,9,46,10,3,"['Late Aircraft (460 min)', 'NAS (94 min)', 'Security (56 min)']"
CDV,10,50,7,1,"['Late Aircraft (234 min)', 'NAS (35 min)', 'Carrier (0 min)']"
CDV,11,51,3,1,"['Late Aircraft (176 min)', 'NAS (50 min)', 'Carrier (0 min)']"
CDV,12,45,10,3,"['Late Aircraft (346 min)', 'NAS (61 min)', 'Security (58 min)']"
CHA,1,324,69,47,"['Late Aircraft (4905 min)', 'Carrier (2510 min)', 'NAS (1201 min)']"
CHA,2,421,36,18,"['Late Aircraft (1581 min)', 'Carrier (1431 min)', 'NAS (482 min)']"
CHA,3,453,54,43,"['Carrier (3990 min)', 'Late Aircraft (3325 min)', 'Weather (926 min)']"
CHA,4,467,72,41,"['Late Aircraft (4382 min)', 'Carrier (3231 min)', 'NAS (1258 min)']"
CHA,5,409,99,61,"['Carrier (4174 min)', 'Late Aircraft (3932 min)', 'Weather (2834 min)']"
CHA,6,432,67,40,"['Late Aircraft (2886 min)', 'Carrier (1874 min)', 'NAS (1035 min)']"
CHA,7,357,82,63,"['Late Aircraft (7907 min)', 'Carrier (5748 min)', 'NAS (2163 min)']"
CHA,8,434,64,32,"['Late Aircraft (2874 min)', 'Carrier (2354 min)', 'NAS (1516 min)']"
CHA,9,493,48,36,"['Late Aircraft (4376 min)', 'Carrier (3230 min)', 'Weather (644 min)']"
CHA,10,536,53,18,"['Carrier (2006 min)', 'Late Aircraft (1824 min)', 'NAS (412 min)']"
CHA,11,576,52,32,"['Late Aircraft (3368 min)', 'Carrier (2917 min)', 'NAS (1365 min)']"
CHA,12,445,77,57,"['Late Aircraft (4697 min)', 'Carrier (3262 min)', 'NAS (1775 min)']"
CHO,1,171,15,23,"['Carrier (1443 min)', 'NAS (1164 min)', 'Late Aircraft (927 min)']"
CHO,2,203,9,8,"['Carrier (1191 min)', 'NAS (1007 min)', 'Late Aircraft (481 min)']"
CHO,3,215,12,13,"['Carrier (921 min)', 'Late Aircraft (671 min)', 'NAS (462 min)']"
CHO,4,223,23,16,"['Late Aircraft (1981 min)', 'Carrier (1376 min)', 'NAS (1096 min)']"
CHO,5,221,20,28,"['Late Aircraft (2280 min)', 'NAS (1872 min)', 'Carrier (1553 min)']"
CHO,6,210,18,12,"['NAS (1789 min)', 'Carrier (1179 min)', 'Late Aircraft (645 min)']"
CHO,7,177,29,31,"['Carrier (2812 min)', 'NAS (1889 min)', 'Late Aircraft (1813 min)']"
CHO,8,185,25,25,"['Late Aircraft (1783 min)', 'Carrier (1623 min)', 'NAS (1372 min)']"
CHO,9,218,16,12,"['Carrier (2310 min)', 'Late Aircraft (752 min)', 'NAS (534 min)']"
CHO,10,320,22,12,"['NAS (1122 min)', 'Carrier (993 min)', 'Late Aircraft (680 min)']"
CHO,11,257,10,11,"['Carrier (1360 min)', 'NAS (558 min)', 'Late Aircraft (357 min)']"
CHO,12,188,32,25,"['Carrier (2256 min)', 'Late Aircraft (1664 min)', 'NAS (1253 min)']"
CHS,1,1321,180,151,"['Late Aircraft (16239 min)', 'Carrier (8212 min)', 'NAS (5278 min)']"
CHS,2,1435,141,77,"['Late Aircraft (7949 min)', 'Carrier (7257 min)', 'NAS (2401 min)']"
CHS,3,1639,234,134,"['Late Aircraft (15079 min)', 'Carrier (6555 min)', 'NAS (5593 min)']"
CHS,4,1779,230,139,"['Late Aircraft (14058 min)', 'Carrier (8709 min)', 'NAS (5973 min)']"
CHS,5,1828,296,210,"['Late Aircraft (21581 min)', 'Carrier (12135 min)', 'NAS (11587 min)']"
CHS,6,1820,317,168,"['Late Aircraft (17438 min)', 'Carrier (12358 min)', 'NAS (8619 min)']"
CHS,7,1699,349,291,"['Late Aircraft (26092 min)', 'Carrier (18944 min)', 'NAS (11204 min)']"
CHS,8,1660,303,197,"['Late Aircraft (17967 min)', 'Carrier (9504 min)', 'NAS (8847 min)']"
CHS,9,1844,208,91,"['Late Aircraft (7752 min)', 'Carrier (5306 min)', 'NAS (3856 min)']"
CHS,10,1964,167,60,"['Carrier (6096 min)', 'Late Aircraft (5252 min)', 'NAS (2572 min)']"
CHS,11,1697,151,72,"['Late Aircraft (5812 min)', 'Carrier (5188 min)', 'NAS (4450 min)']"
CHS,12,1535,238,136,"['Late Aircraft (12847 min)', 'Carrier (7600 min)', 'NAS (5594 min)']"
CID,1,317,78,96,"['Late Aircraft (9255 min)', 'Weather (7249 min)', 'Carrier (7046 min)']"
CID,2,422,48,21,"['Late Aircraft (2942 min)', 'Carrier (1251 min)', 'NAS (631 min)']"
CID,3,485,50,37,"['Carrier (3005 min)', 'Late Aircraft (2733 min)', 'NAS (1902 min)']"
CID,4,499,54,36,"['Late Aircraft (4033 min)', 'Carrier (2361 min)', 'NAS (2166 min)']"
CID,5,481,73,92,"['Late Aircraft (7019 min)', 'NAS (4655 min)', 'Carrier (4417 min)']"
CID,6,527,77,62,"['Late Aircraft (7663 min)', 'Carrier (5515 min)', 'NAS (2264 min)']"
CID,7,534,96,69,"['Late Aircraft (8102 min)', 'Carrier (6559 min)', 'NAS (2896 min)']"
CID,8,620,87,58,"['Late Aircraft (5257 min)', 'Carrier (4812 min)', 'NAS (3505 min)']"
CID,9,625,55,27,"['Carrier (1688 min)', 'Late Aircraft (1660 min)', 'NAS (1375 min)']"
CID,10,641,47,43,"['Carrier (3154 min)', 'Late Aircraft (2742 min)', 'NAS (1193 min)']"
CID,11,571,45,35,"['Carrier (3734 min)', 'Late Aircraft (2791 min)', 'NAS (1260 min)']"
CID,12,426,102,60,"['Late Aircraft (6454 min)', 'Carrier (4299 min)', 'NAS (1649 min)']"
CIU,1,36,3,13,"['Carrier (2649 min)', 'Weather (526 min)', 'NAS (134 min)']"
CIU,2,42,5,9,"['Carrier (2040 min)', 'Weather (597 min)', 'NAS (56 min)']"
CIU,3,49,1,7,"['Weather (816 min)', 'Carrier (727 min)', 'NAS (15 min)']"
CIU,4,51,2,7,"['Carrier (1045 min)', 'Weather (0 min)', 'NAS (0 min)']"
CIU,5,53,3,5,"['Carrier (916 min)', 'Weather (128 min)', 'NAS (12 min)']"
CIU,6,45,7,7,"['Carrier (1807 min)', 'Weather (150 min)', 'NAS (59 min)']"
CIU,7,50,4,7,"['Carrier (1122 min)', 'Weather (110 min)', 'NAS (7 min)']"
CIU,8,56,5,1,"['Weather (161 min)', 'Carrier (126 min)', 'NAS (45 min)']"
CIU,9,50,0,8,"['Carrier (532 min)', 'Weather (342 min)', 'NAS (8 min)']"
CIU,10,49,4,7,"['Carrier (1422 min)', 'Weather (82 min)', 'NAS (24 min)']"
CIU,11,50,4,2,"['Carrier (197 min)', 'Weather (179 min)', 'NAS (27 min)']"
CIU,12,27,12,17,"['Carrier (2912 min)', 'Weather (342 min)', 'NAS (151 min)']"
CKB,1,13,1,1,"['NAS (1235 min)', 'Late Aircraft (31 min)', 'Carrier (0 min)']"
CKB,2,9,3,1,"['Late Aircraft (201 min)', 'Carrier (62 min)', 'Weather (11 min)']"
CKB,3,14,2,2,"['Late Aircraft (130 min)', 'NAS (120 min)', 'Carrier (11 min)']"
CKB,4,12,1,3,"['NAS (191 min)', 'Carrier (115 min)', 'Late Aircraft (69 min)']"
CKB,5,11,5,3,"['NAS (199 min)', 'Late Aircraft (165 min)', 'Weather (84 min)']"
CKB,6,21,8,2,"['Late Aircraft (353 min)', 'Carrier (199 min)', 'NAS (100 min)']"
CKB,7,18,9,6,"['Late Aircraft (1133 min)', 'Carrier (780 min)', 'NAS (115 min)']"
CKB,8,11,6,3,"['Carrier (1200 min)', 'NAS (373 min)', 'Late Aircraft (223 min)']"
CKB,9,6,3,0,"['Weather (79 min)', 'Carrier (30 min)', 'NAS (21 min)']"
CKB,10,4,2,2,"['Late Aircraft (147 min)', 'Carrier (18 min)', 'NAS (8 min)']"
CKB,11,7,1,1,"['Late Aircraft (44 min)', 'Carrier (40 min)', 'NAS (20 min)']"
CKB,12,4,3,3,"['Late Aircraft (264 min)', 'Carrier (102 min)', 'NAS (9 min)']"
CLE,1,2098,388,272,"['Late Aircraft (22786 min)', 'Carrier (17889 min)', 'NAS (14803 min)']"
CLE,2,2347,249,102,"['Late Aircraft (8141 min)', 'Carrier (5895 min)', 'NAS (4792 min)']"
CLE,3,2585,375,248,"['Late Aircraft (20382 min)', 'NAS (14191 min)', 'Carrier (12141 min)']"
CLE,4,2653,339,187,"['Late Aircraft (16607 min)', 'Carrier (10370 min)', 'NAS (10215 min)']"
CLE,5,2859,406,289,"['Late Aircraft (24031 min)', 'NAS (17847 min)', 'Carrier (14843 min)']"
CLE,6,2788,493,330,"['Late Aircraft (26631 min)', 'Carrier (22368 min)', 'NAS (14845 min)']"
CLE,7,2711,518,397,"['Late Aircraft (32392 min)', 'Carrier (26887 min)', 'NAS (20172 min)']"
CLE,8,2748,434,236,"['Late Aircraft (20220 min)', 'Carrier (17005 min)', 'NAS (14901 min)']"
CLE,9,3033,250,100,"['Late Aircraft (12489 min)', 'Carrier (7070 min)', 'NAS (5393 min)']"
CLE,10,3074,229,117,"['Carrier (9392 min)', 'Late Aircraft (8772 min)', 'NAS (4596 min)']"
CLE,11,2655,247,139,"['Late Aircraft (10271 min)', 'NAS (7742 min)', 'Carrier (7524 min)']"
CLE,12,2400,432,222,"['Late Aircraft (16328 min)', 'Carrier (13084 min)', 'NAS (12332 min)']"
CLL,1,71,7,10,"['Weather (936 min)', 'Carrier (749 min)', 'NAS (232 min)']"
CLL,2,80,3,2,"['NAS (386 min)', 'Carrier (242 min)', 'Late Aircraft (49 min)']"
CLL,3,82,3,3,"['Late Aircraft (303 min)', 'Weather (210 min)', 'NAS (80 min)']"
CLL,4,72,3,11,"['Weather (734 min)', 'Late Aircraft (676 min)', 'NAS (648 min)']"
CLL,5,64,7,14,"['Carrier (1807 min)', 'NAS (1162 min)', 'Late Aircraft (625 min)']"
CLL,6,70,11,7,"['Late Aircraft (578 min)', 'NAS (354 min)', 'Carrier (276 min)']"
CLL,7,59,19,11,"['Late Aircraft (832 min)', 'Carrier (379 min)', 'NAS (303 min)']"
CLL,8,75,11,6,"['Carrier (982 min)', 'Late Aircraft (505 min)', 'NAS (162 min)']"
CLL,9,74,10,6,"['Weather (324 min)', 'NAS (284 min)', 'Late Aircraft (266 min)']"
CLL,10,103,5,9,"['Carrier (685 min)', 'NAS (467 min)', 'Weather (392 min)']"
CLL,11,71,10,8,"['Late Aircraft (519 min)', 'Carrier (434 min)', 'Weather (281 min)']"
CLL,12,66,9,13,"['Carrier (626 min)', 'NAS (579 min)', 'Weather (554 min)']"
CLT,1,11532,2628,1655,"['Late Aircraft (153297 min)', 'Carrier (87358 min)', 'NAS (36699 min)']"
CLT,2,12802,1887,711,"['Late Aircraft (64420 min)', 'Carrier (53971 min)', 'NAS (24966 min)']"
CLT,3,12894,2785,1400,"['Late Aircraft (130250 min)', 'Carrier (91234 min)', 'NAS (43766 min)']"
CLT,4,13610,2844,1487,"['Late Aircraft (139395 min)', 'Carrier (92918 min)', 'NAS (47509 min)']"
CLT,5,12047,4002,2814,"['Late Aircraft (265611 min)', 'Carrier (165545 min)', 'NAS (95923 min)']"
CLT,6,12550,3448,2258,"['Late Aircraft (204502 min)', 'Carrier (132731 min)', 'NAS (53861 min)']"
CLT,7,9867,4024,4342,"['Late Aircraft (424721 min)', 'Carrier (203775 min)', 'Weather (81009 min)']"
CLT,8,12464,3559,2400,"['Late Aircraft (207396 min)', 'Carrier (137991 min)', 'NAS (60958 min)']"
CLT,9,14007,2554,1484,"['Late Aircraft (135055 min)', 'Carrier (77234 min)', 'NAS (34992 min)']"
CLT,10,15379,2677,964,"['Late Aircraft (88339 min)', 'Carrier (70508 min)', 'NAS (27571 min)']"
CLT,11,14719,1766,648,"['Carrier (52519 min)', 'Late Aircraft (50545 min)', 'NAS (33527 min)']"
CLT,12,13111,2910,1473,"['Late Aircraft (139498 min)', 'Carrier (86948 min)', 'NAS (40474 min)']"
CMH,1,2388,351,173,"['Late Aircraft (14977 min)', 'Carrier (12586 min)', 'NAS (11127 min)']"
CMH,2,2440,307,108,"['NAS (9274 min)', 'Late Aircraft (7627 min)', 'Carrier (5978 min)']"
CMH,3,2724,398,192,"['Late Aircraft (15475 min)', 'NAS (10839 min)', 'Carrier (9440 min)']"
CMH,4,2795,300,177,"['Late Aircraft (14236 min)', 'Carrier (7897 min)', 'NAS (7752 min)']"
CMH,5,2805,428,284,"['Late Aircraft (23116 min)', 'NAS (16862 min)', 'Carrier (11723 min)']"
CMH,6,2887,406,247,"['Late Aircraft (18485 min)', 'Carrier (15206 min)', 'NAS (11992 min)']"
CMH,7,2831,484,348,"['Late Aircraft (28185 min)', 'Carrier (25080 min)', 'NAS (14213 min)']"
CMH,8,2917,407,265,"['Late Aircraft (23771 min)', 'Carrier (18837 min)', 'NAS (13896 min)']"
CMH,9,3056,265,134,"['Carrier (13085 min)', 'Late Aircraft (10470 min)', 'NAS (6176 min)']"
CMH,10,3307,268,97,"['Carrier (9820 min)', 'Late Aircraft (8218 min)', 'NAS (3982 min)']"
CMH,11,3073,271,134,"['Carrier (9066 min)', 'Late Aircraft (8526 min)', 'NAS (6825 min)']"
CMH,12,2756,474,184,"['Carrier (17998 min)', 'Late Aircraft (13525 min)', 'NAS (8937 min)']"
CMI,1,70,17,12,"['Weather (1284 min)', 'Late Aircraft (936 min)', 'NAS (369 min)']"
CMI,2,96,11,2,"['Late Aircraft (400 min)', 'NAS (109 min)', 'Carrier (102 min)']"
CMI,3,97,12,10,"['Late Aircraft (1569 min)', 'Carrier (733 min)', 'NAS (393 min)']"
CMI,4,97,12,8,"['Late Aircraft (1585 min)', 'Carrier (1104 min)', 'NAS (260 min)']"
CMI,5,81,19,21,"['Carrier (1708 min)', 'Late Aircraft (1572 min)', 'Weather (708 min)']"
CMI,6,81,15,14,"['Carrier (1619 min)', 'Late Aircraft (867 min)', 'Weather (376 min)']"
CMI,7,93,21,6,"['Late Aircraft (531 min)', 'NAS (383 min)', 'Carrier (271 min)']"
CMI,8,102,13,9,"['Late Aircraft (718 min)', 'Carrier (340 min)', 'Weather (159 min)']"
CMI,9,86,8,13,"['Late Aircraft (1994 min)', 'Carrier (696 min)', 'NAS (333 min)']"
CMI,10,105,5,1,"['Late Aircraft (262 min)', 'NAS (122 min)', 'Carrier (98 min)']"
CMI,11,70,6,4,"['Late Aircraft (717 min)', 'NAS (176 min)', 'Weather (103 min)']"
CMI,12,68,10,7,"['Late Aircraft (547 min)', 'Carrier (480 min)', 'NAS (205 min)']"
CMX,1,31,2,9,"['Late Aircraft (499 min)', 'Carrier (305 min)', 'Weather (134 min)']"
CMX,2,42,3,3,"['Carrier (313 min)', 'Late Aircraft (90 min)', 'NAS (82 min)']"
CMX,3,48,5,4,"['Carrier (566 min)', 'Weather (472 min)', 'NAS (101 min)']"
CMX,4,40,5,12,"['Late Aircraft (525 min)', 'Carrier (480 min)', 'Weather (354 min)']"
CMX,5,36,11,11,"['Late Aircraft (1463 min)', 'Carrier (1075 min)', 'NAS (166 min)']"
CMX,6,48,5,6,"['Late Aircraft (460 min)', 'Carrier (285 min)', 'Weather (145 min)']"
CMX,7,54,2,6,"['Carrier (615 min)', 'Weather (330 min)', 'NAS (143 min)']"
CMX,8,38,13,11,"['Carrier (666 min)', 'Late Aircraft (450 min)', 'NAS (432 min)']"
CMX,9,44,12,4,"['Late Aircraft (695 min)', 'Carrier (416 min)', 'NAS (34 min)']"
CMX,10,53,7,2,"['Carrier (317 min)', 'Late Aircraft (279 min)', 'NAS (56 min)']"
CMX,11,42,6,7,"['Weather (1304 min)', 'Carrier (1238 min)', 'NAS (77 min)']"
CMX,12,35,9,10,"['Weather (1003 min)', 'Carrier (749 min)', 'Late Aircraft (508 min)']"
CNY,1,25,1,2,"['Late Aircraft (291 min)', 'Carrier (35 min)', 'Weather (0 min)']"
COD,5,20,5,3,"['NAS (145 min)', 'Carrier (132 min)', 'Weather (94 min)']"
COD,6,67,15,11,"['Carrier (1324 min)', 'Late Aircraft (645 min)', 'NAS (262 min)']"
COD,7,89,16,12,"['Late Aircraft (1491 min)', 'Carrier (726 min)', 'Weather (273 min)']"
COD,8,75,17,18,"['Carrier (2210 min)', 'Late Aircraft (629 min)', 'NAS (425 min)']"
COD,9,55,16,10,"['Carrier (1042 min)', 'Late Aircraft (815 min)', 'NAS (50 min)']"
COD,10,49,7,1,"['Carrier (160 min)', 'Weather (85 min)', 'NAS (51 min)']"
COD,11,41,4,8,"['Carrier (746 min)', 'Weather (348 min)', 'Late Aircraft (320 min)']"
COD,12,47,4,1,"['Carrier (126 min)', 'NAS (32 min)', 'Late Aircraft (22 min)']"
COS,1,759,106,64,"['Late Aircraft (6372 min)', 'Carrier (5229 min)', 'NAS (2736 min)']"
COS,2,691,76,48,"['Late Aircraft (4575 min)', 'Carrier (3810 min)', 'NAS (2991 min)']"
COS,3,783,96,46,"['Late Aircraft (4123 min)', 'NAS (2853 min)', 'Carrier (2472 min)']"
COS,4,805,96,51,"['Carrier (4259 min)', 'Late Aircraft (3701 min)', 'NAS (2223 min)']"
COS,5,793,139,104,"['Carrier (6900 min)', 'Late Aircraft (6610 min)', 'NAS (4576 min)']"
COS,6,926,145,75,"['Late Aircraft (6092 min)', 'Carrier (4547 min)', 'NAS (2821 min)']"
COS,7,922,180,91,"['Late Aircraft (9049 min)', 'Carrier (6960 min)', 'NAS (2927 min)']"
COS,8,882,123,106,"['Carrier (9014 min)', 'Late Aircraft (5874 min)', 'NAS (3403 min)']"
COS,9,879,112,50,"['Carrier (6878 min)', 'Late Aircraft (3846 min)', 'NAS (998 min)']"
COS,10,974,87,56,"['Carrier (5674 min)', 'Late Aircraft (2147 min)', 'Weather (1234 min)']"
COS,11,847,78,53,"['Carrier (4523 min)', 'NAS (3561 min)', 'Late Aircraft (3376 min)']"
COS,12,822,119,51,"['Late Aircraft (4930 min)', 'Carrier (3553 min)', 'NAS (1575 min)']"
COU,1,76,12,17,"['Weather (1201 min)', 'Carrier (722 min)', 'NAS (645 min)']"
COU,2,107,12,4,"['Late Aircraft (342 min)', 'NAS (178 min)', 'Carrier (163 min)']"
COU,3,120,15,9,"['Late Aircraft (474 min)', 'Carrier (397 min)', 'NAS (301 min)']"
COU,4,104,11,6,"['Weather (453 min)', 'Late Aircraft (426 min)', 'NAS (264 min)']"
COU,5,104,21,19,"['Weather (1469 min)', 'Late Aircraft (1365 min)', 'NAS (885 min)']"
COU,6,103,31,27,"['Late Aircraft (1869 min)', 'Carrier (646 min)', 'Weather (607 min)']"
COU,7,128,30,23,"['Late Aircraft (2538 min)', 'NAS (593 min)', 'Carrier (550 min)']"
COU,8,145,23,6,"['Carrier (1051 min)', 'Late Aircraft (648 min)', 'NAS (355 min)']"
COU,9,107,17,6,"['Late Aircraft (927 min)', 'Carrier (349 min)', 'NAS (297 min)']"
COU,10,141,16,6,"['Carrier (640 min)', 'Late Aircraft (292 min)', 'NAS (250 min)']"
COU,11,99,23,8,"['Weather (1119 min)', 'Late Aircraft (651 min)', 'NAS (479 min)']"
COU,12,90,26,21,"['Carrier (2442 min)', 'Late Aircraft (2045 min)', 'Weather (841 min)']"
CPR,1,55,2,2,"['Carrier (179 min)', 'Weather (167 min)', 'NAS (40 min)']"
CPR,2,22,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
