aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,935,10.88,3.93,1.5,-3.45,1,
ABE,G4,1631,11.05,5.62,1.8,-3.27,2,
ABE,OH,999,17.10,8.23,1.5,2.78,3,
ABE,OO,283,35.30,29.38,4.2,20.97,4,
ABQ,DL,1500,2.15,-4.69,0.9,-7.15,1,
ABQ,OO,3912,2.31,-1.41,0.5,-6.99,2,
ABQ,MQ,901,5.36,3.51,0.7,-3.94,3,
ABQ,UA,1806,5.63,-0.03,1.1,-3.67,4,
ABQ,AS,409,9.11,5.93,1.0,-0.19,5,
ABQ,NK,518,9.43,5.78,1.2,0.13,6,
