aeroporto_partenza,mese,numero_ritardi_basso,dep_avg_basso,arr_avg_basso,numero_ritardi_medio,dep_avg_medio,arr_avg_medio,numero_ritardo_alto,dep_avg_alto,arr_avg_alto,cause_maggiori
ABI,11,127,-4.5,-9.21,8,31.13,25.5,6,106.17,105.0,"['Weather (8 voli)', 'Late Aircraft (7 voli)', 'NAS (6 voli)']"
ABI,12,131,-4.17,-6.19,7,28.71,21.57,12,111.0,117.08,"['NAS (14 voli)', 'Late Aircraft (12 voli)', 'Carrier (10 voli)']"
ABQ,1,1436,-3.17,-8.06,200,30.94,26.28,116,137.95,134.59,"['Late Aircraft (198 voli)', 'NAS (170 voli)', 'Carrier (145 voli)']"
ABQ,2,1382,-2.79,-7.95,156,31.13,28.93,65,155.35,155.88,"['NAS (131 voli)', 'Late Aircraft (125 voli)', 'Carrier (123 voli)']"
ABQ,3,1488,-2.29,-7.59,251,31.27,25.83,115,151.7,150.59,"['Late Aircraft (232 voli)', 'Carrier (192 voli)', 'NAS (189 voli)']"
ABQ,4,1512,-2.26,-8.35,263,30.96,24.81,94,143.41,142.43,"['Late Aircraft (199 voli)', 'Carrier (176 voli)', 'NAS (141 voli)']"
ABQ,5,1594,-1.87,-7.3,321,31.05,25.33,161,153.47,149.59,"['Late Aircraft (277 voli)', 'Carrier (256 voli)', 'NAS (174 voli)']"
ABQ,6,1617,-2.09,-6.95,310,30.53,25.68,126,147.6,143.38,"['Late Aircraft (273 voli)', 'Carrier (227 voli)', 'NAS (161 voli)']"
ABQ,7,1584,-2.05,-7.07,332,33.04,29.46,168,152.89,150.16,"['Late Aircraft (345 voli)', 'Carrier (292 voli)', 'NAS (207 voli)']"
ABQ,8,1697,-3.27,-8.12,234,30.08,27.2,125,131.06,129.1,"['Late Aircraft (224 voli)', 'Carrier (195 voli)', 'NAS (174 voli)']"
ABQ,9,1727,-3.81,-10.0,221,28.92,22.79,66,127.7,122.7,"['Late Aircraft (150 voli)', 'Carrier (129 voli)', 'NAS (98 voli)']"
ABQ,10,2094,-3.0,-7.94,212,28.51,23.0,75,141.68,137.13,"['Carrier (155 voli)', 'Late Aircraft (135 voli)', 'NAS (127 voli)']"
