codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,71,1.0,438.0,28.99,0.0,1
9E,ABE,59,1.0,113.0,7.73,1.7,2
9E,ABE,69,2.0,309.0,7.55,0.0,3
9E,ABE,74,2.0,438.0,17.0,0.0,4
9E,ABE,86,2.0,182.0,11.92,1.2,5
9E,ABE,89,1.0,169.0,11.49,1.1,6
9E,ABE,89,1.0,245.0,17.79,7.9,7
9E,ABE,84,5.0,348.0,12.25,2.4,8
9E,ABE,78,1.0,144.0,3.96,0.0,9
9E,ABE,81,1.0,575.0,14.12,0.0,10
9E,ABE,75,2.0,341.0,14.99,0.0,11
9E,ABE,80,2.0,476.0,28.55,2.5,12
9E,ABY,3,7.0,43.0,23.0,0.0,1
9E,ABY,4,1.0,321.0,82.25,0.0,2
9E,ABY,1,2.0,2.0,2.0,0.0,3
9E,ABY,8,0.0,-2.0,0.0,0.0,11
9E,ABY,20,12.0,141.0,10.9,0.0,12
9E,AEX,61,3.0,598.0,30.72,3.3,1
9E,AEX,56,2.0,238.0,10.5,0.0,2
9E,AEX,62,2.0,32.0,1.56,0.0,3
9E,AEX,60,1.0,590.0,21.4,0.0,4
9E,AEX,62,3.0,270.0,16.89,0.0,5
9E,AEX,79,1.0,979.0,26.73,0.0,6
9E,AEX,84,1.0,872.0,39.75,6.0,7
9E,AEX,85,1.0,294.0,16.72,1.2,8
9E,AEX,81,1.0,316.0,16.22,0.0,9
9E,AEX,84,4.0,379.0,20.56,0.0,10
9E,AEX,81,3.0,301.0,16.84,0.0,11
9E,AEX,76,2.0,294.0,11.91,1.3,12
9E,AGS,68,3.0,784.0,48.41,0.0,1
9E,AGS,77,3.0,109.0,7.47,0.0,2
9E,AGS,127,1.0,343.0,13.09,0.0,3
9E,AGS,156,1.0,225.0,10.34,0.0,4
9E,AGS,154,1.0,526.0,16.3,0.0,5
9E,AGS,165,2.0,191.0,4.88,0.0,6
9E,AGS,176,1.0,1091.0,29.51,8.5,7
9E,AGS,177,2.0,484.0,14.18,3.4,8
9E,AGS,133,1.0,484.0,20.11,8.3,9
9E,AGS,158,1.0,261.0,8.46,0.0,10
9E,AGS,77,3.0,187.0,7.49,0.0,11
9E,AGS,127,1.0,534.0,26.0,0.8,12
9E,ALB,90,3.0,223.0,15.01,5.6,1
9E,ALB,80,2.0,380.0,7.06,2.5,2
9E,ALB,109,1.0,301.0,11.16,0.0,3
9E,ALB,113,1.0,289.0,7.77,0.0,4
9E,ALB,116,1.0,155.0,2.35,0.9,5
9E,ALB,67,2.0,263.0,16.97,3.0,6
9E,ALB,62,4.0,374.0,15.24,11.3,7
9E,ALB,81,3.0,253.0,13.9,4.9,8
9E,ALB,70,2.0,54.0,1.26,0.0,9
9E,ALB,78,2.0,394.0,9.33,0.0,10
9E,ALB,87,1.0,229.0,5.18,0.0,11
9E,ALB,94,2.0,288.0,18.94,0.0,12
9E,ATL,2509,1.0,953.0,22.39,2.6,1
9E,ATL,1968,1.0,860.0,5.2,0.1,2
9E,ATL,2143,1.0,1207.0,6.12,0.0,3
9E,ATL,2030,1.0,616.0,6.55,0.1,4
9E,ATL,1737,1.0,662.0,12.26,0.4,5
9E,ATL,1866,1.0,362.0,5.95,0.1,6
9E,ATL,1908,1.0,821.0,24.02,6.2,7
9E,ATL,1917,1.0,665.0,7.62,2.0,8
9E,ATL,2203,1.0,983.0,9.73,1.7,9
9E,ATL,2536,1.0,768.0,4.29,0.0,10
9E,ATL,2537,1.0,991.0,6.15,0.1,11
9E,ATL,3464,1.0,1198.0,14.43,0.6,12
9E,ATW,19,18.0,167.0,27.74,0.0,1
9E,ATW,19,9.0,9.0,0.47,0.0,4
9E,ATW,82,1.0,228.0,5.94,0.0,5
9E,ATW,36,2.0,420.0,57.97,0.0,6
9E,ATW,6,12.0,76.0,20.33,0.0,7
9E,ATW,4,33.0,33.0,8.25,0.0,8
9E,ATW,2,115.0,115.0,57.5,0.0,9
9E,ATW,5,0.0,-9.0,0.0,0.0,10
9E,AUS,47,1.0,469.0,37.87,2.1,1
9E,AUS,54,1.0,57.0,4.83,0.0,2
9E,AUS,76,1.0,130.0,10.21,0.0,3
9E,AUS,77,1.0,427.0,15.31,0.0,4
9E,AUS,57,1.0,1069.0,26.56,0.0,5
9E,AUS,54,2.0,1225.0,35.11,0.0,6
9E,AUS,9,2.0,258.0,55.56,11.1,7
9E,AUS,3,9.0,9.0,3.0,0.0,11
9E,AVL,46,2.0,207.0,15.41,0.0,1
9E,AVL,28,7.0,463.0,17.32,0.0,2
9E,AVL,31,2.0,77.0,4.71,0.0,3
9E,AVL,47,2.0,171.0,8.02,0.0,4
9E,AVL,56,1.0,835.0,39.55,0.0,5
9E,AVL,55,2.0,195.0,13.62,3.6,6
9E,AVL,62,3.0,359.0,23.9,6.5,7
9E,AVL,57,3.0,230.0,18.09,5.3,8
9E,AVL,52,3.0,48.0,2.31,9.6,9
9E,AVL,52,1.0,72.0,4.67,0.0,10
9E,AVL,39,2.0,949.0,31.79,0.0,11
9E,AVL,112,3.0,119.0,11.76,0.0,12
9E,AZO,14,1.0,71.0,6.43,0.0,1
9E,BDL,52,1.0,170.0,20.85,5.8,1
9E,BDL,45,1.0,90.0,5.2,2.2,2
9E,BDL,55,1.0,279.0,10.13,0.0,3
9E,BDL,56,1.0,58.0,3.25,0.0,4
9E,BDL,33,62.0,180.0,7.33,0.0,5
9E,BDL,28,12.0,141.0,10.36,3.6,6
9E,BDL,35,2.0,303.0,24.89,8.6,7
9E,BDL,26,6.0,111.0,9.46,11.5,8
9E,BDL,26,1.0,160.0,8.88,0.0,9
9E,BDL,7,1.0,101.0,14.57,0.0,10
9E,BDL,2,1.0,1.0,0.5,0.0,12
9E,BGM,29,2.0,200.0,16.17,17.2,1
9E,BGM,19,127.0,317.0,23.37,0.0,2
9E,BGM,27,3.0,1051.0,71.22,0.0,3
9E,BGM,29,2.0,239.0,11.93,0.0,4
9E,BGM,31,2.0,359.0,25.94,0.0,5
9E,BGM,30,3.0,327.0,14.83,0.0,6
9E,BGM,31,1.0,625.0,30.52,6.5,7
9E,BGM,31,1.0,32.0,3.1,12.9,8
9E,BGM,28,1.0,6.0,0.36,0.0,9
9E,BGM,31,2.0,12.0,1.0,0.0,10
9E,BGM,30,1.0,187.0,16.13,0.0,11
9E,BGM,25,7.0,145.0,24.6,4.0,12
9E,BGR,75,1.0,261.0,18.08,9.3,1
9E,BGR,60,8.0,202.0,9.48,5.0,2
9E,BGR,74,2.0,395.0,18.04,0.0,3
9E,BGR,80,5.0,65.0,3.28,2.5,4
9E,BGR,86,1.0,459.0,9.37,4.7,5
9E,BGR,117,1.0,288.0,18.33,6.0,6
9E,BGR,128,3.0,301.0,14.57,11.7,7
9E,BGR,122,1.0,115.0,7.47,10.7,8
9E,BGR,109,2.0,215.0,5.05,0.0,9
9E,BGR,113,1.0,349.0,9.02,0.0,10
9E,BGR,99,1.0,86.0,2.34,0.0,11
9E,BGR,91,1.0,217.0,9.38,0.0,12
9E,BHM,102,1.0,186.0,15.02,6.9,1
9E,BHM,105,1.0,195.0,8.78,1.9,2
9E,BHM,82,2.0,136.0,6.43,0.0,3
9E,BHM,88,1.0,103.0,5.95,1.1,4
9E,BHM,109,2.0,366.0,21.2,2.8,5
9E,BHM,105,2.0,95.0,6.31,5.7,6
9E,BHM,88,1.0,730.0,24.76,12.5,7
9E,BHM,83,1.0,122.0,10.31,9.6,8
9E,BHM,74,3.0,112.0,5.97,0.0,9
9E,BHM,83,1.0,170.0,7.53,0.0,10
9E,BHM,73,1.0,372.0,10.26,0.0,11
9E,BHM,75,1.0,205.0,12.67,1.3,12
9E,BIS,3,2.0,102.0,38.67,0.0,7
9E,BIS,5,5.0,42.0,13.2,0.0,8
9E,BIS,2,16.0,16.0,8.0,0.0,9
9E,BMI,61,1.0,318.0,33.3,6.6,1
9E,BMI,55,3.0,103.0,4.96,0.0,2
9E,BMI,62,2.0,268.0,9.1,0.0,3
9E,BMI,60,1.0,109.0,2.75,0.0,4
9E,BMI,62,1.0,188.0,17.79,0.0,5
9E,BMI,60,3.0,86.0,4.08,0.0,6
9E,BMI,62,3.0,380.0,29.4,4.8,7
9E,BMI,60,1.0,567.0,18.58,1.7,8
9E,BMI,60,1.0,51.0,2.93,1.7,9
9E,BMI,61,12.0,331.0,6.85,0.0,10
9E,BMI,54,2.0,98.0,5.57,0.0,11
9E,BMI,59,1.0,145.0,9.08,0.0,12
9E,BNA,81,3.0,1132.0,55.74,4.9,1
9E,BNA,82,1.0,97.0,7.24,1.2,2
9E,BNA,127,1.0,159.0,14.8,0.0,3
9E,BNA,149,1.0,1125.0,21.7,2.0,4
9E,BNA,141,2.0,277.0,18.23,2.8,5
9E,BNA,126,1.0,839.0,31.54,6.3,6
9E,BNA,129,1.0,901.0,43.49,7.8,7
9E,BNA,127,2.0,1214.0,35.43,11.8,8
9E,BNA,60,5.0,330.0,17.28,0.0,9
9E,BNA,57,1.0,938.0,26.86,0.0,10
9E,BNA,56,2.0,157.0,5.79,0.0,11
9E,BNA,38,8.0,205.0,12.95,0.0,12
9E,BOS,7,23.0,23.0,3.29,14.3,1
9E,BQK,43,2.0,165.0,9.0,0.0,3
9E,BQK,16,3.0,38.0,6.63,0.0,4
9E,BQK,4,26.0,26.0,6.5,0.0,6
9E,BQK,1,0.0,-23.0,0.0,0.0,7
9E,BQK,35,2.0,163.0,21.31,0.0,11
9E,BQK,41,5.0,508.0,25.98,0.0,12
9E,BTR,82,1.0,278.0,17.51,4.9,1
9E,BTR,99,1.0,1006.0,12.72,0.0,2
9E,BTR,32,3.0,202.0,9.38,0.0,3
9E,BTR,24,4.0,133.0,13.38,0.0,5
9E,BTR,30,4.0,82.0,4.97,3.3,6
9E,BTR,19,1.0,154.0,12.21,10.5,7
9E,BTR,19,6.0,71.0,4.05,0.0,8
9E,BTR,32,1.0,162.0,12.75,3.1,9
9E,BTR,54,1.0,87.0,3.93,0.0,10
9E,BTR,39,1.0,65.0,3.33,0.0,11
9E,BTR,68,2.0,1015.0,38.03,1.5,12
9E,BTV,115,1.0,378.0,21.23,4.3,1
9E,BTV,111,1.0,513.0,17.47,2.7,2
9E,BTV,120,1.0,459.0,13.59,1.7,3
9E,BTV,136,1.0,596.0,12.37,2.9,4
9E,BTV,158,2.0,454.0,17.75,1.9,5
9E,BTV,165,2.0,752.0,17.85,3.0,6
9E,BTV,171,1.0,430.0,25.87,8.2,7
9E,BTV,174,1.0,916.0,24.51,8.0,8
9E,BTV,144,2.0,444.0,5.79,0.0,9
9E,BTV,131,2.0,328.0,8.47,0.0,10
9E,BTV,136,1.0,182.0,3.8,0.0,11
9E,BTV,110,1.0,479.0,19.26,0.0,12
9E,BUF,132,1.0,310.0,20.8,17.4,1
9E,BUF,126,1.0,225.0,13.18,3.2,2
9E,BUF,114,3.0,124.0,7.3,0.0,3
9E,BUF,185,1.0,261.0,4.67,1.1,4
9E,BUF,186,1.0,260.0,10.97,1.6,5
9E,BUF,126,1.0,759.0,21.08,3.2,6
9E,BUF,134,1.0,854.0,31.13,6.7,7
9E,BUF,135,1.0,996.0,28.6,8.9,8
9E,BUF,189,1.0,166.0,4.91,0.0,9
9E,BUF,192,1.0,198.0,5.79,0.0,10
9E,BUF,184,2.0,165.0,4.73,0.0,11
9E,BUF,142,1.0,524.0,28.75,0.7,12
9E,BWI,30,9.0,494.0,72.67,3.3,1
9E,BWI,49,2.0,76.0,8.57,2.0,2
9E,BWI,58,1.0,315.0,15.55,0.0,3
9E,BWI,60,14.0,236.0,17.07,3.3,4
9E,BWI,12,1.0,333.0,36.0,0.0,5
9E,BWI,42,1.0,141.0,6.52,14.3,6
9E,BWI,57,2.0,260.0,42.98,10.5,7
9E,BWI,59,1.0,275.0,24.22,20.3,8
9E,BWI,51,1.0,325.0,19.37,0.0,9
9E,BWI,49,2.0,87.0,3.49,0.0,10
9E,CAE,78,1.0,534.0,19.78,2.6,1
9E,CAE,52,2.0,33.0,1.19,1.9,2
9E,CAE,82,1.0,166.0,11.88,0.0,3
9E,CAE,94,1.0,135.0,7.41,0.0,4
9E,CAE,87,3.0,316.0,11.34,2.3,5
9E,CAE,94,1.0,156.0,10.37,5.3,6
9E,CAE,87,1.0,401.0,29.55,11.5,7
9E,CAE,85,1.0,162.0,9.26,3.5,8
9E,CAE,121,1.0,273.0,10.45,0.0,9
9E,CAE,164,1.0,165.0,4.37,0.0,10
9E,CAE,129,3.0,103.0,7.3,0.0,11
9E,CAE,169,1.0,542.0,11.57,0.6,12
9E,CHA,123,1.0,389.0,18.98,2.4,1
9E,CHA,76,1.0,373.0,8.58,0.0,2
9E,CHA,60,1.0,91.0,5.45,0.0,3
9E,CHA,68,1.0,172.0,12.84,0.0,4
9E,CHA,72,2.0,169.0,13.54,0.0,5
9E,CHA,128,1.0,305.0,12.27,0.0,6
9E,CHA,100,2.0,1088.0,34.19,6.0,7
9E,CHA,108,2.0,174.0,13.79,0.9,8
9E,CHA,118,3.0,411.0,7.19,0.0,9
9E,CHA,188,1.0,357.0,6.87,0.0,10
9E,CHA,218,1.0,220.0,6.3,0.0,11
9E,CHA,258,1.0,402.0,16.16,0.0,12
9E,CHO,143,2.0,191.0,19.05,6.3,1
9E,CHO,149,1.0,320.0,15.27,2.0,2
9E,CHO,137,1.0,267.0,9.64,0.0,3
9E,CHO,128,1.0,283.0,14.81,1.6,4
9E,CHO,134,1.0,756.0,20.3,1.5,5
9E,CHO,129,1.0,1063.0,12.71,3.9,6
9E,CHO,129,1.0,424.0,28.53,10.1,7
9E,CHO,133,1.0,235.0,16.47,9.8,8
9E,CHO,135,1.0,197.0,5.8,0.7,9
9E,CHO,162,2.0,342.0,9.28,0.0,10
9E,CHO,168,1.0,373.0,11.96,0.0,11
9E,CHO,167,1.0,419.0,18.83,0.0,12
9E,CHS,141,2.0,733.0,18.5,5.7,1
9E,CHS,141,1.0,199.0,7.86,1.4,2
9E,CHS,111,1.0,113.0,5.5,0.0,3
9E,CHS,131,1.0,166.0,9.08,0.8,4
9E,CHS,142,2.0,849.0,20.29,1.4,5
9E,CHS,254,1.0,726.0,19.83,5.9,6
9E,CHS,262,1.0,333.0,22.93,10.3,7
9E,CHS,232,1.0,147.0,12.08,12.5,8
9E,CHS,109,1.0,302.0,6.09,0.9,9
9E,CHS,136,1.0,149.0,5.06,0.0,10
9E,CHS,175,1.0,116.0,3.52,0.0,11
9E,CHS,115,1.0,202.0,17.14,0.0,12
9E,CID,16,5.0,85.0,14.38,0.0,1
9E,CID,19,2.0,45.0,3.79,0.0,4
9E,CID,13,1.0,129.0,12.15,0.0,5
9E,CID,62,1.0,52.0,7.48,0.0,9
9E,CID,23,11.0,70.0,10.83,0.0,10
9E,CID,26,2.0,9.0,1.38,0.0,11
9E,CLE,212,1.0,1049.0,25.96,4.2,1
9E,CLE,196,1.0,215.0,7.88,3.1,2
9E,CLE,254,1.0,430.0,13.24,0.4,3
9E,CLE,212,1.0,259.0,7.93,1.4,4
9E,CLE,274,1.0,803.0,20.72,1.1,5
9E,CLE,201,1.0,856.0,28.71,4.5,6
9E,CLE,190,1.0,968.0,35.21,10.5,7
9E,CLE,188,1.0,1132.0,34.34,9.6,8
9E,CLE,144,1.0,988.0,12.86,0.0,9
9E,CLE,173,1.0,772.0,12.51,0.0,10
9E,CLE,155,1.0,81.0,2.89,0.0,11
9E,CLE,193,1.0,197.0,12.54,0.0,12
9E,CLT,242,2.0,816.0,16.37,6.6,1
9E,CLT,234,1.0,500.0,12.15,3.0,2
9E,CLT,195,1.0,994.0,20.75,0.0,3
9E,CLT,242,1.0,274.0,14.98,0.8,4
9E,CLT,184,1.0,353.0,21.39,3.3,5
9E,CLT,257,1.0,1020.0,20.95,8.9,6
9E,CLT,304,1.0,819.0,38.38,10.5,7
9E,CLT,298,1.0,1027.0,33.36,11.1,8
9E,CLT,248,1.0,433.0,9.25,1.2,9
9E,CLT,265,1.0,506.0,10.17,0.0,10
9E,CLT,270,1.0,162.0,8.11,0.0,11
9E,CLT,293,1.0,347.0,19.9,0.3,12
9E,CMH,17,4.0,344.0,22.71,0.0,1
9E,CMH,38,1.0,201.0,13.95,0.0,3
9E,CMH,51,2.0,145.0,7.8,0.0,4
9E,CMH,37,5.0,149.0,8.19,2.7,5
9E,CMH,6,46.0,99.0,24.17,0.0,6
9E,CMH,27,2.0,123.0,17.52,0.0,8
9E,CMH,9,7.0,80.0,16.0,0.0,9
9E,CMH,2,0.0,-10.0,0.0,0.0,10
9E,CMH,19,2.0,26.0,4.63,0.0,11
9E,CMH,30,1.0,277.0,25.63,0.0,12
9E,CRW,12,13.0,13.0,1.08,0.0,1
9E,CRW,59,1.0,105.0,4.25,0.0,3
9E,CRW,23,2.0,40.0,6.65,0.0,4
9E,CRW,19,13.0,149.0,14.47,0.0,9
9E,CRW,13,64.0,64.0,4.92,0.0,10
9E,CRW,25,7.0,75.0,8.84,0.0,11
9E,CRW,18,3.0,81.0,12.61,0.0,12
9E,CSG,2,41.0,41.0,20.5,0.0,1
9E,CSG,2,4.0,4.0,2.0,0.0,2
9E,CSG,19,1.0,60.0,8.16,0.0,3
9E,CSG,6,0.0,-1.0,0.0,0.0,4
9E,CSG,17,5.0,81.0,8.47,0.0,5
9E,CSG,59,2.0,147.0,11.66,0.0,6
9E,CSG,82,1.0,238.0,26.1,6.1,7
9E,CSG,85,1.0,317.0,12.11,5.9,8
9E,CSG,75,1.0,192.0,8.21,5.3,9
9E,CSG,84,1.0,173.0,6.11,0.0,10
9E,CSG,82,1.0,1247.0,28.0,2.4,11
9E,CSG,75,1.0,177.0,8.24,2.7,12
9E,CVG,495,1.0,732.0,16.3,2.0,1
9E,CVG,510,1.0,652.0,7.64,1.2,2
9E,CVG,625,1.0,336.0,9.07,0.2,3
9E,CVG,629,1.0,451.0,10.17,0.6,4
9E,CVG,652,1.0,382.0,13.52,0.9,5
9E,CVG,580,1.0,767.0,17.53,2.6,6
9E,CVG,511,1.0,576.0,26.73,7.0,7
9E,CVG,501,1.0,1035.0,20.32,7.2,8
9E,CVG,487,1.0,276.0,6.65,0.0,9
9E,CVG,545,1.0,163.0,5.87,0.0,10
9E,CVG,486,1.0,254.0,9.98,0.0,11
9E,CVG,456,1.0,594.0,14.03,0.2,12
9E,CWA,57,1.0,287.0,17.91,3.5,1
9E,CWA,49,4.0,181.0,6.45,0.0,2
9E,CWA,53,4.0,386.0,12.49,1.9,3
9E,CWA,58,2.0,29.0,0.98,0.0,4
9E,CWA,62,1.0,109.0,4.77,0.0,5
9E,CWA,60,1.0,234.0,22.38,0.0,6
9E,CWA,62,1.0,125.0,11.03,1.6,7
9E,CWA,62,1.0,273.0,13.74,1.6,8
9E,CWA,56,1.0,186.0,5.2,0.0,9
9E,CWA,61,2.0,70.0,3.31,0.0,10
9E,CWA,55,1.0,126.0,4.95,0.0,11
9E,CWA,51,2.0,263.0,25.9,2.0,12
9E,DAY,45,1.0,274.0,21.27,0.0,1
9E,DAY,47,2.0,336.0,7.96,2.1,2
9E,DAY,60,1.0,44.0,1.68,0.0,3
9E,DAY,52,3.0,98.0,3.31,1.9,4
9E,DAY,32,3.0,166.0,7.81,0.0,5
9E,DAY,27,6.0,67.0,5.15,3.7,6
9E,DAY,30,3.0,558.0,47.23,13.3,7
9E,DAY,29,1.0,194.0,16.24,10.3,8
9E,DAY,27,0.0,0.0,0.0,0.0,9
9E,DAY,27,3.0,53.0,2.81,0.0,10
9E,DAY,24,28.0,334.0,16.46,0.0,11
9E,DAY,60,1.0,530.0,26.93,1.7,12
9E,DCA,149,2.0,189.0,13.27,5.4,1
9E,DCA,181,1.0,250.0,6.28,0.0,2
9E,DCA,180,2.0,570.0,16.54,0.0,3
9E,DCA,164,1.0,353.0,11.15,1.2,4
9E,DCA,181,1.0,860.0,24.98,2.2,5
9E,DCA,167,1.0,753.0,26.83,0.6,6
9E,DCA,166,2.0,797.0,35.91,6.6,7
9E,DCA,162,1.0,1036.0,40.7,7.4,8
9E,DCA,163,1.0,799.0,10.47,0.6,9
9E,DCA,170,2.0,750.0,10.22,0.0,10
9E,DCA,145,1.0,843.0,15.23,0.0,11
9E,DCA,125,1.0,850.0,24.34,0.0,12
9E,DFW,2,127.0,133.0,130.0,0.0,12
9E,DHN,61,4.0,937.0,34.38,0.0,1
9E,DHN,57,1.0,154.0,6.26,0.0,2
9E,DHN,62,1.0,123.0,8.1,0.0,3
9E,DHN,16,7.0,18.0,2.56,0.0,4
9E,DHN,50,1.0,172.0,15.5,0.0,5
9E,DHN,12,3.0,58.0,8.5,0.0,6
9E,DHN,57,1.0,342.0,12.93,5.3,9
9E,DHN,62,1.0,422.0,16.11,0.0,10
9E,DHN,77,1.0,378.0,12.55,0.0,11
9E,DHN,74,1.0,297.0,15.43,0.0,12
9E,DLH,44,1.0,146.0,3.82,0.0,4
9E,DLH,13,75.0,75.0,5.77,0.0,5
9E,DLH,26,1.0,133.0,21.81,0.0,6
9E,DLH,48,1.0,241.0,25.15,2.1,7
9E,DLH,49,2.0,83.0,15.22,2.0,8
9E,DLH,9,18.0,43.0,8.78,0.0,9
9E,DSM,192,1.0,486.0,27.86,5.7,1
9E,DSM,171,1.0,378.0,12.84,0.6,2
9E,DSM,218,2.0,217.0,7.97,0.5,3
9E,DSM,225,1.0,385.0,6.78,0.4,4
9E,DSM,232,1.0,223.0,7.88,1.3,5
9E,DSM,217,1.0,247.0,17.81,1.4,6
9E,DSM,217,1.0,311.0,20.15,6.9,7
9E,DSM,222,1.0,229.0,15.65,4.5,8
9E,DSM,209,1.0,109.0,3.67,0.0,9
9E,DSM,217,2.0,255.0,3.83,0.0,10
9E,DSM,197,1.0,150.0,3.88,0.0,11
9E,DSM,201,1.0,1272.0,25.42,0.0,12
9E,DTW,1174,1.0,941.0,21.35,2.8,1
9E,DTW,890,1.0,660.0,7.61,0.3,2
9E,DTW,1209,1.0,452.0,6.26,0.0,3
9E,DTW,1150,1.0,664.0,6.27,0.3,4
9E,DTW,1033,1.0,699.0,8.85,0.0,5
9E,DTW,1066,1.0,683.0,14.85,0.1,6
9E,DTW,1061,1.0,663.0,15.76,4.5,7
9E,DTW,1112,1.0,933.0,12.22,2.5,8
9E,DTW,887,1.0,714.0,3.49,0.1,9
9E,DTW,910,1.0,120.0,2.26,0.0,10
9E,DTW,1033,1.0,290.0,4.84,0.0,11
9E,DTW,1061,1.0,282.0,9.8,0.0,12
9E,ECP,24,5.0,262.0,41.25,0.0,1
9E,EVV,67,2.0,422.0,30.21,3.0,1
9E,EVV,76,1.0,68.0,3.17,0.0,2
9E,EVV,25,2.0,70.0,4.16,0.0,3
9E,EVV,66,1.0,69.0,4.38,0.0,6
9E,EVV,83,2.0,305.0,21.52,4.8,7
9E,EVV,77,1.0,66.0,3.52,1.3,8
9E,EVV,77,1.0,176.0,7.84,0.0,9
9E,EVV,81,2.0,50.0,0.94,0.0,10
9E,EVV,76,1.0,126.0,10.55,0.0,11
9E,EVV,48,4.0,275.0,21.73,0.0,12
9E,EWR,116,1.0,1032.0,31.67,1.7,1
9E,EWR,123,1.0,148.0,5.87,1.6,2
9E,EWR,132,1.0,189.0,12.77,0.0,3
9E,EWR,134,2.0,856.0,24.31,2.2,4
9E,EWR,141,1.0,419.0,25.62,3.5,5
9E,EWR,134,1.0,1110.0,26.99,9.7,6
9E,EWR,131,1.0,343.0,43.31,15.3,7
9E,EWR,142,2.0,1103.0,64.81,12.7,8
9E,EWR,133,1.0,390.0,21.56,0.0,9
9E,EWR,136,1.0,326.0,19.59,0.0,10
9E,EWR,136,1.0,242.0,26.54,0.0,11
9E,EWR,126,1.0,209.0,21.56,0.0,12
9E,EYW,34,6.0,201.0,25.24,0.0,1
9E,EYW,31,7.0,174.0,21.45,0.0,2
9E,EYW,31,2.0,561.0,26.35,0.0,3
9E,EYW,30,1.0,532.0,22.97,0.0,4
9E,EYW,8,3.0,82.0,13.13,0.0,5
9E,EYW,25,3.0,348.0,49.0,12.0,12
9E,FAR,50,3.0,267.0,18.54,0.0,1
9E,FAR,35,67.0,147.0,8.69,2.9,2
9E,FAR,8,21.0,36.0,7.13,0.0,3
9E,FAR,15,1.0,99.0,8.73,0.0,4
9E,FAR,22,19.0,169.0,15.64,0.0,5
9E,FAR,4,47.0,128.0,58.75,0.0,6
9E,FAR,9,6.0,103.0,22.56,0.0,7
9E,FAR,6,20.0,59.0,13.17,0.0,8
9E,FAR,25,2.0,26.0,2.96,0.0,9
9E,FAR,33,8.0,50.0,2.45,0.0,10
9E,FAR,10,12.0,12.0,1.2,0.0,11
9E,FAY,21,2.0,147.0,16.19,0.0,1
9E,FAY,29,3.0,33.0,1.86,0.0,2
9E,FAY,31,1.0,264.0,18.03,0.0,3
9E,FAY,30,1.0,91.0,6.93,0.0,4
9E,FAY,6,16.0,16.0,2.67,0.0,5
9E,FAY,1,24.0,24.0,24.0,0.0,6
9E,FAY,63,2.0,913.0,28.97,0.0,9
9E,FAY,40,1.0,195.0,7.78,0.0,10
9E,FAY,57,6.0,949.0,21.79,0.0,11
9E,FAY,70,3.0,286.0,23.49,0.0,12
9E,FLL,14,19.0,89.0,23.57,0.0,1
9E,FLL,8,20.0,61.0,10.13,0.0,12
9E,FSD,42,5.0,412.0,28.95,2.4,1
9E,FSD,32,9.0,22.0,0.97,0.0,2
9E,FSD,13,0.0,-12.0,0.0,0.0,3
9E,FSD,29,3.0,16.0,1.48,0.0,4
9E,FSD,34,2.0,59.0,5.47,0.0,5
9E,FSD,48,2.0,170.0,28.48,0.0,6
9E,FSD,32,3.0,194.0,33.06,6.3,7
9E,FSD,39,1.0,119.0,19.9,0.0,8
9E,FSD,32,1.0,64.0,5.97,0.0,9
9E,FSD,28,1.0,9.0,0.71,0.0,10
9E,FSD,9,1.0,1.0,0.22,0.0,11
9E,FSD,13,39.0,67.0,11.46,0.0,12
9E,FWA,80,2.0,351.0,30.9,10.0,1
9E,FWA,82,1.0,336.0,11.22,0.0,2
9E,FWA,27,3.0,13.0,0.89,0.0,3
9E,FWA,1,1.0,1.0,1.0,0.0,11
9E,GFK,39,2.0,116.0,12.97,0.0,1
9E,GFK,1,0.0,-13.0,0.0,0.0,2
9E,GFK,2,0.0,-17.0,0.0,0.0,3
9E,GFK,1,12.0,12.0,12.0,0.0,9
9E,GFK,32,2.0,478.0,51.84,0.0,12
9E,GNV,18,3.0,107.0,12.0,0.0,1
9E,GNV,41,1.0,107.0,5.71,0.0,3
9E,GNV,15,7.0,322.0,33.0,0.0,4
9E,GNV,7,0.0,-15.0,0.0,0.0,6
9E,GNV,8,35.0,166.0,39.38,0.0,7
9E,GNV,5,0.0,-12.0,0.0,0.0,8
9E,GNV,4,30.0,30.0,7.5,0.0,11
9E,GNV,24,3.0,108.0,11.13,4.2,12
9E,GPT,11,14.0,34.0,4.36,0.0,1
9E,GPT,7,22.0,22.0,3.14,0.0,4
9E,GPT,1,2.0,2.0,2.0,0.0,11
9E,GPT,35,3.0,221.0,16.03,0.0,12
9E,GRB,21,1.0,331.0,16.38,0.0,1
9E,GRB,33,1.0,33.0,1.03,0.0,4
9E,GRB,11,177.0,177.0,16.09,0.0,5
9E,GRB,1,0.0,-21.0,0.0,0.0,10
9E,GRR,83,1.0,263.0,19.86,9.6,1
9E,GRR,60,2.0,390.0,12.87,5.0,2
9E,GRR,74,1.0,88.0,6.41,0.0,3
9E,GRR,98,1.0,90.0,4.08,1.0,4
9E,GRR,111,1.0,331.0,11.12,1.8,5
9E,GRR,83,3.0,62.0,6.46,6.0,6
9E,GRR,84,1.0,312.0,25.23,10.7,7
9E,GRR,91,1.0,133.0,8.93,11.0,8
9E,GRR,72,2.0,356.0,8.6,0.0,9
