aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
PSP,F9,20,8.00,10.75,0.0,-1.09,4
PSP,DL,617,8.03,0.24,0.3,-1.06,5
PSP,OO,5347,8.41,7.53,0.8,-0.68,6
PSP,G4,101,10.01,6.33,0.0,0.92,7
PSP,UA,1418,11.13,5.48,0.5,2.04,8
PSP,AA,1765,14.89,11.20,1.2,5.81,9
PSP,B6,65,38.64,32.92,1.5,29.55,10
PVD,YX,938,3.05,-2.18,0.9,-9.31,1
PVD,UA,130,9.56,8.17,1.5,-2.79,2
PVD,WN,4803,10.29,1.99,1.2,-2.06,3
PVD,MQ,438,10.84,12.96,0.5,-1.51,4
PVD,OO,551,11.81,9.96,0.5,-0.55,5
PVD,B6,1412,12.56,8.45,1.0,0.21,6
PVD,9E,709,13.22,6.02,2.4,0.87,7
PVD,OH,1605,13.58,11.41,2.2,1.22,8
PVD,DL,1295,14.99,6.39,1.1,2.63,9
PVD,AA,2177,17.19,12.48,0.9,4.83,10
PVD,G4,197,28.42,22.09,0.5,16.07,11
PVU,G4,1781,12.09,9.44,0.5,-1.69,1
PVU,OO,302,23.86,22.53,1.3,10.07,2
PWM,MQ,295,6.56,5.47,0.7,-6.54,1
PWM,YX,3374,6.62,0.89,2.4,-6.48,2
PWM,UA,808,7.32,4.86,2.0,-5.78,3
PWM,DL,717,12.68,5.79,1.3,-0.42,4
PWM,WN,1519,14.00,6.89,0.9,0.89,5
PWM,OO,418,17.80,11.03,0.7,4.70,6
PWM,B6,350,18.02,13.81,4.9,4.92,7
PWM,OH,706,18.59,15.01,1.7,5.48,8
PWM,AA,1716,19.00,14.89,2.2,5.89,9
PWM,F9,341,19.80,15.60,6.7,6.69,10
PWM,9E,846,22.24,16.84,4.5,9.13,11
RAP,UA,1003,6.51,3.58,1.8,-5.83,1
RAP,MQ,1153,10.14,6.73,0.8,-2.20,2
RAP,G4,403,12.82,10.50,1.2,0.48,3
RAP,DL,95,13.70,14.20,3.2,1.35,4
RAP,OO,2035,14.43,8.11,1.2,2.08,5
RAP,9E,192,16.66,11.64,0.0,4.32,6
RAP,AA,129,35.38,38.05,1.6,23.04,7
