codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,71,-28.0,438.0,21.29,0.0,1
9E,ABE,81,-28.0,575.0,0.68,0.0,10
9E,ABE,75,-29.0,341.0,6.71,0.0,11
9E,ABE,80,-30.0,476.0,21.78,2.5,12
9E,ABE,59,-29.0,113.0,-5.71,1.7,2
9E,ABE,69,-30.0,309.0,-4.80,0.0,3
9E,ABE,74,-30.0,438.0,4.42,0.0,4
9E,ABE,86,-28.0,182.0,1.91,1.2,5
9E,ABE,89,-29.0,169.0,0.18,1.1,6
9E,ABE,89,-28.0,245.0,10.50,7.9,7
