aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
EYW,YX,1058,11.67,8.92,2.4,-8.62,1
EYW,UA,730,12.17,12.52,2.3,-8.12,2
EYW,MQ,2049,12.33,10.12,2.9,-7.96,3
EYW,DL,1313,13.71,10.11,2.2,-6.58,4
EYW,9E,159,22.29,21.96,1.9,2.00,5
EYW,G4,621,24.50,23.60,4.3,4.21,6
EYW,B6,174,31.87,22.15,2.9,11.58,7
EYW,AA,1720,40.78,38.16,3.0,20.49,8
GTF,OO,1935,4.21,-0.24,0.5,-3.19,1
GTF,UA,242,8.97,-0.87,2.5,1.57,2
